,Suburb_id,Suburb,Postcode,LGA,City,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
112,112,Carnes Hill,2171,City of Liverpool ,Sydney,Café,Supermarket,Shopping Mall,Department Store,Liquor Store,Fast Food Restaurant,Pizza Place,,,
113,113,Carramar,2163,City of Fairfield,Sydney,Train Station,Italian Restaurant,Ice Cream Shop,Park,Burger Joint,,,,,
114,114,Carss Park,2221,Georges River Council,Sydney,Gym / Fitness Center,Roof Deck,Other Great Outdoors,Café,,,,,,
115,115,Cartwright,2168,City of Liverpool ,Sydney,Music Venue,Playground,,,,,,,,
116,116,Castle Cove,2069,City of Willoughby,Sydney,Park,Athletics & Sports,Tennis Court,Golf Course,,,,,,
117,117,Castle Hill,2154,"The Hills Shire, Hornsby Shire",Sydney,Bar,Chinese Restaurant,Restaurant,Gym,Café,,,,,
118,118,Castlecrag,2068,City of Willoughby,Sydney,Harbor / Marina,Scenic Lookout,Bay,Playground,,,,,,
119,119,Castlereagh,2749,City of Penrith,Sydney,,,,,,,,,,
120,120,Casula,2170,City of Liverpool ,Sydney,Shopping Mall,Italian Restaurant,Chinese Restaurant,Liquor Store,,,,,,
121,121,Catherine Field,2557,Camden Council ,Sydney,,,,,,,,,,
122,122,Cattai,2756,"City of Hawkesbury, The Hills Shire",Sydney,Dry Cleaner,,,,,,,,,
123,123,Cawdor,2570,"Wollondilly Shire, Camden Council ",Sydney,,,,,,,,,,
124,124,Cecil Hills,2171,City of Liverpool ,Sydney,Café,Shopping Mall,Liquor Store,,,,,,,
125,125,Cecil Park,2178,"City of Fairfield, City of Liverpool ",Sydney,,,,,,,,,,
126,126,Centennial Park,2021,"City of Sydney, City of Randwick",Sydney,Café,Park,Restaurant,Spa,Playground,Australian Restaurant,Tourist Information Center,Pizza Place,Music Venue,Grocery Store
127,127,Chatswood,2067,City of Willoughby,Sydney,Café,Gym,Food Court,Train Station,Tea Room,Thai Restaurant,Shopping Mall,Dessert Shop,Sushi Restaurant,Malay Restaurant
128,128,Chatswood West,2067,"City of Willoughby, City of Ryde",Sydney,Golf Course,Food Court,Trail,Flower Shop,Art Gallery,Sports Club,Convenience Store,Arcade,,
129,129,Cheltenham,2119,Hornsby Shire,Sydney,Platform,Train Station,Tennis Court,,,,,,,
130,130,Cherrybrook,2126,Hornsby Shire,Sydney,Lake,,,,,,,,,
131,131,Chester Hill,2162,"Canterbury-Bankstown Council, Cumberland Council, New South Wales",Sydney,Falafel Restaurant,Restaurant,Pharmacy,Fast Food Restaurant,Thrift / Vintage Store,Thai Restaurant,,,,
132,132,Chifley,2036,City of Randwick,Sydney,Shop & Service,Restaurant,Café,Art Gallery,Food & Drink Shop,Road,Chinese Restaurant,Business Service,,
133,133,Chippendale,2008,City of Sydney,Sydney,Café,Bar,Bakery,Thai Restaurant,Hotel,Pub,Wine Bar,Cocktail Bar,Art Gallery,Ice Cream Shop
134,134,Chipping Norton,2170,City of Liverpool ,Sydney,Park,Shopping Mall,Supermarket,Café,,,,,,
135,135,Chiswick,2046,City of Canada Bay,Sydney,Park,Scenic Lookout,,,,,,,,
136,136,Church Point,2105,Northern Beaches Council,Sydney,Scenic Lookout,,,,,,,,,
137,137,Claremont Meadows,2747,Penrith City Council,Sydney,Playground,,,,,,,,,
138,138,Clarendon,2756,City of Hawkesbury,Sydney,Train Station,Fried Chicken Joint,Racecourse,Pub,,,,,,
139,139,Clareville,2107,Northern Beaches Council,Sydney,Surf Spot,Australian Restaurant,Beach,Scenic Lookout,,,,,,
140,140,Claymore,2559,City of Campbelltown ,Sydney,Shopping Mall,,,,,,,,,
141,141,Clemton Park,2206,Canterbury-Bankstown Council,Sydney,Café,Shopping Plaza,Grocery Store,Greek Restaurant,Burger Joint,Pizza Place,,,,
142,142,Clontarf,2093,Northern Beaches Council,Sydney,Café,Surf Spot,Beach,,,,,,,
143,143,Clovelly,2031,City of Randwick,Sydney,Café,Beach,Bakery,Bus Line,Thai Restaurant,Pizza Place,Bar,Hotel,Trail,Burger Joint
144,144,Coasters Retreat,2108,Northern Beaches Council,Sydney,Boat or Ferry,Bay,,,,,,,,
145,145,Cobbitty,2570,Camden Council ,Sydney,Café,,,,,,,,,
146,146,Colebee,2761,City of Blacktown,Sydney,,,,,,,,,,
147,147,Collaroy,2097,Northern Beaches Council,Sydney,Beach,Café,Indian Restaurant,Grocery Store,Pizza Place,Beach Bar,Bus Station,Hotel,Sandwich Place,Bar
148,148,Collaroy Plateau,2097,Northern Beaches Council,Sydney,Grocery Store,Park,Pet Store,Pizza Place,,,,,,
149,149,Colyton,2760,Penrith City Council,Sydney,BBQ Joint,American Restaurant,Dry Cleaner,,,,,,,
150,150,Como,2226,Sutherland Shire,Sydney,Train Station,Café,,,,,,,,
151,151,Concord,2137,City of Canada Bay,Sydney,Café,Italian Restaurant,Bakery,Sports Bar,Thai Restaurant,Soccer Field,Golf Course,Burger Joint,Fast Food Restaurant,Dry Cleaner
152,152,Condell Park,2200,Canterbury-Bankstown Council,Sydney,Park,Wings Joint,Mediterranean Restaurant,Seafood Restaurant,Grocery Store,,,,,
153,153,Connells Point,2221,Georges River Council,Sydney,,,,,,,,,,
154,154,Constitution Hill,2145,City of Parramatta,Sydney,Park,Food Truck,IT Services,Fast Food Restaurant,,,,,,
155,155,Coogee,2034,City of Randwick,Sydney,Café,Hotel,Burger Joint,Bar,Park,Thai Restaurant,Fish & Chips Shop,Indian Restaurant,Italian Restaurant,Sushi Restaurant
156,156,Cottage Point,2084,Northern Beaches Council,Sydney,Home Service,,,,,,,,,
157,157,Cowan,2081,Hornsby Shire,Sydney,Trail,Café,,,,,,,,
158,158,Cranebrook,2749,Penrith City Council,Sydney,Shopping Mall,Fried Chicken Joint,Café,,,,,,,
159,159,Cremorne,2090,North Sydney Council,Sydney,Café,Pizza Place,Cocktail Bar,Bus Station,Park,Fast Food Restaurant,Thai Restaurant,Korean Restaurant,Grocery Store,Shopping Mall
160,160,Cremorne Point,2090,North Sydney Council,Sydney,Trail,Café,Pool,Hotel,,,,,,
161,161,Cromer,2099,Northern Beaches Council,Sydney,Soccer Field,Pub,,,,,,,,
162,162,Cronulla,2230,Sutherland Shire,Sydney,Café,Ice Cream Shop,Platform,Burger Joint,Beach,Park,Bar,Boat or Ferry,Supermarket,Fast Food Restaurant
163,163,Crows Nest,2065,North Sydney Council,Sydney,Café,Japanese Restaurant,Thai Restaurant,Vietnamese Restaurant,Italian Restaurant,Indian Restaurant,Bar,Sandwich Place,Mexican Restaurant,Asian Restaurant
164,164,Croydon,2132,"Inner West Council, Burwood Council",Sydney,Café,Indian Restaurant,Italian Restaurant,Japanese Restaurant,Pizza Place,Thai Restaurant,,,,
165,165,Croydon Park,2133,"Canterbury-Bankstown Council, Burwood Council, Inner West Council",Sydney,Chinese Restaurant,Gas Station,Grocery Store,Mediterranean Restaurant,Fast Food Restaurant,Lebanese Restaurant,Thai Restaurant,Sandwich Place,Pizza Place,Asian Restaurant
166,166,Cumberland Reach,2756,City of Hawkesbury,Sydney,,,,,,,,,,
167,167,Curl Curl,2096,Northern Beaches Council,Sydney,Café,Surf Spot,,,,,,,,
168,168,Currans Hill,2567,Camden Council ,Sydney,Bar,,,,,,,,,
169,169,Daceyville,2032,Bayside Council,Sydney,Park,Moving Target,Golf Course,,,,,,,
170,170,Dangar Island,2083,Hornsby Shire,Sydney,Beach,Harbor / Marina,Event Service,Trail,,,,,,
171,171,Darling Point,2027,Municipality of Woollahra,Sydney,Park,Boat or Ferry,Pier,Harbor / Marina,,,,,,
172,172,Darlinghurst,2010,City of Sydney,Sydney,Café,Italian Restaurant,Bar,Pub,Japanese Restaurant,Pizza Place,Vietnamese Restaurant,Thai Restaurant,Gym,Cocktail Bar
